,Iteration,Time,Fitness,FEvals,Population Size,Mutation Rate,max_iters
0,0,0.0033586759999906235,3.0,200.0,200,0.7,2048
1,1,0.018289525999989564,15.0,402.0,200,0.7,2048
2,2,0.034183269999999766,15.0,603.0,200,0.7,2048
3,3,0.04952613499999359,15.0,804.0,200,0.7,2048
4,4,0.06053131800000244,15.0,1005.0,200,0.7,2048
5,5,0.07828807199999233,15.0,1206.0,200,0.7,2048
6,6,0.091336474000002,15.0,1407.0,200,0.7,2048
7,7,0.10413897200000122,15.0,1608.0,200,0.7,2048
8,8,0.11635367399999552,16.0,1810.0,200,0.7,2048
9,9,0.13331282699999747,16.0,2011.0,200,0.7,2048
10,10,0.14744344399998965,115.0,2213.0,200,0.7,2048
11,11,0.15952851899999132,116.0,2415.0,200,0.7,2048
12,12,0.17291048599999215,116.0,2616.0,200,0.7,2048
13,13,0.18608565699999247,116.0,2817.0,200,0.7,2048
14,14,0.19935751599999207,117.0,3019.0,200,0.7,2048
15,15,0.2127480239999926,117.0,3220.0,200,0.7,2048
16,16,0.22487529599999334,119.0,3422.0,200,0.7,2048
17,17,0.24270522300000152,119.0,3623.0,200,0.7,2048
18,18,0.255781663999997,119.0,3824.0,200,0.7,2048
19,19,0.26948147699999936,119.0,4025.0,200,0.7,2048
20,20,0.28309113400000285,120.0,4227.0,200,0.7,2048
21,21,0.2957909309999991,123.0,4429.0,200,0.7,2048
22,22,0.30797865799999613,123.0,4630.0,200,0.7,2048
23,23,0.3199015000000003,123.0,4831.0,200,0.7,2048
24,24,0.33187428200000113,127.0,5033.0,200,0.7,2048
25,25,0.3436820510000018,127.0,5234.0,200,0.7,2048
26,26,0.3554715249999987,127.0,5435.0,200,0.7,2048
27,27,0.36690493999999774,127.0,5636.0,200,0.7,2048
28,28,0.38101471699999934,127.0,5837.0,200,0.7,2048
29,29,0.39397081799999967,127.0,6038.0,200,0.7,2048
30,30,0.40569752099999334,128.0,6240.0,200,0.7,2048
31,31,0.4174046039999979,128.0,6441.0,200,0.7,2048
32,32,0.42920322199999816,129.0,6643.0,200,0.7,2048
33,33,0.4460214899999926,129.0,6844.0,200,0.7,2048
34,34,0.4579547539999993,129.0,7045.0,200,0.7,2048
35,35,0.47087351499999386,129.0,7246.0,200,0.7,2048
36,36,0.4842647279999994,129.0,7447.0,200,0.7,2048
37,37,0.49669587599998977,129.0,7648.0,200,0.7,2048
38,38,0.5090983669999929,129.0,7849.0,200,0.7,2048
39,39,0.521115143000003,129.0,8050.0,200,0.7,2048
40,40,0.5334414579999986,129.0,8251.0,200,0.7,2048
41,41,0.5453569659999999,132.0,8453.0,200,0.7,2048
42,42,0.557289702999995,132.0,8654.0,200,0.7,2048
43,43,0.5700453190000019,132.0,8855.0,200,0.7,2048
44,44,0.5843276250000002,132.0,9056.0,200,0.7,2048
45,45,0.5964543689999999,132.0,9257.0,200,0.7,2048
46,46,0.6099877269999894,137.0,9459.0,200,0.7,2048
47,47,0.6241864790000022,137.0,9660.0,200,0.7,2048
48,48,0.6371570109999993,137.0,9861.0,200,0.7,2048
49,49,0.6507605609999985,141.0,10063.0,200,0.7,2048
50,50,0.6644380449999971,141.0,10264.0,200,0.7,2048
51,51,0.6801220999999913,141.0,10465.0,200,0.7,2048
52,52,0.6931565359999894,142.0,10667.0,200,0.7,2048
53,53,0.7067959689999981,142.0,10868.0,200,0.7,2048
54,54,0.7209232789999902,142.0,11069.0,200,0.7,2048
55,55,0.7337317749999954,142.0,11270.0,200,0.7,2048
56,56,0.756902703999998,142.0,11471.0,200,0.7,2048
57,57,0.7837161239999944,142.0,11672.0,200,0.7,2048
58,58,0.8090008650000016,143.0,11874.0,200,0.7,2048
59,59,0.8288639059999952,143.0,12075.0,200,0.7,2048
60,60,0.8471710110000004,143.0,12276.0,200,0.7,2048
61,61,0.8599840449999903,143.0,12477.0,200,0.7,2048
62,62,0.8746207699999928,144.0,12679.0,200,0.7,2048
63,63,0.8884950610000004,144.0,12880.0,200,0.7,2048
64,64,0.9015810450000004,144.0,13081.0,200,0.7,2048
65,65,0.921617310000002,144.0,13282.0,200,0.7,2048
66,66,0.936678251999993,144.0,13483.0,200,0.7,2048
67,67,0.9504960310000001,144.0,13684.0,200,0.7,2048
68,68,0.9631878559999905,144.0,13885.0,200,0.7,2048
69,69,0.9808101550000003,145.0,14087.0,200,0.7,2048
70,70,0.9962126140000009,145.0,14288.0,200,0.7,2048
71,71,1.0114733569999999,145.0,14489.0,200,0.7,2048
72,72,1.0279666349999985,145.0,14690.0,200,0.7,2048
73,73,1.0413553669999942,145.0,14891.0,200,0.7,2048
74,74,1.0548324949999994,145.0,15092.0,200,0.7,2048
75,75,1.0688598910000024,147.0,15294.0,200,0.7,2048
76,76,1.084101375000003,147.0,15495.0,200,0.7,2048
77,77,1.1001969229999986,147.0,15696.0,200,0.7,2048
78,78,1.115785239999994,147.0,15897.0,200,0.7,2048
79,79,1.1289213049999915,151.0,16099.0,200,0.7,2048
80,80,1.1433558989999995,151.0,16300.0,200,0.7,2048
81,81,1.1561534909999978,151.0,16501.0,200,0.7,2048
82,82,1.1710874139999987,151.0,16702.0,200,0.7,2048
83,83,1.1866189889999958,151.0,16903.0,200,0.7,2048
84,84,1.2008872019999899,151.0,17104.0,200,0.7,2048
85,85,1.2149287940000022,151.0,17305.0,200,0.7,2048
86,86,1.228212881999994,151.0,17506.0,200,0.7,2048
87,87,1.2414559469999915,151.0,17707.0,200,0.7,2048
88,88,1.2550288569999992,151.0,17908.0,200,0.7,2048
