,Iteration,Fitness,FEvals,Time,State,Population Size,Mutation Rate,max_iters
0,0,0.0,100,0.0028606849999999184,"[1, 0, 0, 1, 0, 1, 1, 0, 1]",100,0.7,64
1,1,243.0,202,0.013887264999999704,"[1, 1, 0, 1, 0, 0, 1, 0, 0]",100,0.7,64
2,2,243.0,303,0.02552187700000008,"[1, 1, 0, 1, 0, 0, 1, 0, 0]",100,0.7,64
3,4,257.0,506,0.04307141000000003,"[1, 1, 0, 1, 0, 0, 1, 1, 0]",100,0.7,64
4,8,257.0,910,0.07702959700000012,"[1, 1, 0, 1, 0, 0, 1, 1, 0]",100,0.7,64
5,16,257.0,1718,0.13516777699999993,"[1, 1, 0, 1, 0, 0, 1, 1, 0]",100,0.7,64
6,32,257.0,3334,0.24761943200000003,"[1, 1, 0, 1, 0, 0, 1, 1, 0]",100,0.7,64
7,64,257.0,6566,0.4611156809999999,"[1, 1, 0, 1, 0, 0, 1, 1, 0]",100,0.7,64
